2019-02-06 20:08:48,438 DEBUG paramiko.transport       starting thread (client mode): 0xfc926198
2019-02-06 20:08:48,439 DEBUG paramiko.transport       Local version/idstring: SSH-2.0-paramiko_2.4.2
2019-02-06 20:08:48,450 DEBUG paramiko.transport       Remote version/idstring: SSH-2.0-OpenSSH_7.9
2019-02-06 20:08:48,451 INFO paramiko.transport       Connected (version 2.0, client OpenSSH_7.9)
2019-02-06 20:08:48,461 DEBUG paramiko.transport       kex algos:['curve25519-sha256', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group-exchange-sha256', 'diffie-hellman-group16-sha512', 'diffie-hellman-group18-sha512', 'diffie-hellman-group14-sha256', 'diffie-hellman-group14-sha1'] server key:['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa', 'ecdsa-sha2-nistp256', 'ssh-ed25519'] client encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] server encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] client mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] server mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] client compress:['none', 'zlib@openssh.com'] server compress:['none', 'zlib@openssh.com'] client lang:[''] server lang:[''] kex follows?False
2019-02-06 20:08:48,461 DEBUG paramiko.transport       Kex agreed: ecdh-sha2-nistp256
2019-02-06 20:08:48,462 DEBUG paramiko.transport       HostKey agreed: ssh-ed25519
2019-02-06 20:08:48,462 DEBUG paramiko.transport       Cipher agreed: aes128-ctr
2019-02-06 20:08:48,462 DEBUG paramiko.transport       MAC agreed: hmac-sha2-256
2019-02-06 20:08:48,463 DEBUG paramiko.transport       Compression agreed: none
2019-02-06 20:08:48,612 DEBUG paramiko.transport       kex engine KexNistp256 specified hash_algo <built-in function openssl_sha256>
2019-02-06 20:08:48,613 DEBUG paramiko.transport       Switch to new keys ...
2019-02-06 20:08:48,613 DEBUG paramiko.transport       Adding ssh-ed25519 host key for 127.0.0.1: b'd36e335691574793c30041368a167855'
2019-02-06 20:08:48,655 DEBUG paramiko.transport       userauth is OK
2019-02-06 20:08:51,519 INFO paramiko.transport       Authentication (password) failed.
2019-02-06 20:08:51,523 DEBUG paramiko.transport       starting thread (client mode): 0xf6f96f98
2019-02-06 20:08:51,526 DEBUG paramiko.transport       starting thread (client mode): 0xf6f39470
